,Unnamed: 0,raw,clean,lemmas,color,gender,keywords,topic_number,new_topics,topic_label
1809,1809,Prachin Varaha Laxmi Sitting Showpiece  -  11 cm,prachin varaha laxmi sitting showpiece    11 cm,prachin varaha laxmi sitting showpiece 11 cm,[],[],varaha laxmi sitting showpiece prachin varaha ,-1,-1,unknown
1810,1810,Little Star Casual Short Sleeve Printed Girl's Top,little star casual short sleeve printed girls top,little star casual short sleeve printed girl top,[],['girl'],casual short star casual girl top ,-1,-1,unknown
1811,1811,WPM Q5942A Black Toner,wpm q5942a black toner,wpm q5942a black toner,['black'],[],black wpm black toner ,-1,-1,unknown
1812,1812,Exotic India Lord Ganesha Playing Flute (Carved in Sunstone) Showpiece  -  6.8580000000000005 cm,exotic india lord ganesha playing flute carved in sunstone showpiece    68580000000000005 cm,exotic india lord ganesha playing flute carved in sunstone showpiece 68580000000000005 cm,[],[],india lord sunstone showpiece exotic india ,15,12,unknown
1813,1813,Jordan Kids Casual Short Sleeve Graphic Print Girl's Top,jordan kids casual short sleeve graphic print girls top,jordan kid casual short sleeve graphic print girl top,[],"['kid', 'girl']",kid casual girl top jordan kid ,-1,-1,unknown
1814,1814,Filink 310 Black Toner,filink 310 black toner,filink 310 black toner,['black'],[],black filink black toner ,-1,-1,unknown
1815,1815,Disney Minnie Big Head  - 17 inch,disney minnie big head   17 inch,disney minnie big head 17 inch,[],[],big head disney minnie inch ,1,1,art
1816,1816,Collectible India Relaxing Conch Ganesha Brass Idol - Antique Finish Statue Showpiece  -  17.5 cm,collectible india relaxing conch ganesha brass idol  antique finish statue showpiece    175 cm,collectible india relaxing conch ganesha brass idol antique finish statue showpiece 175 cm,[],[],india relaxing statue showpiece collectible india ,15,12,unknown
1817,1817,Reebok Casual Sleeveless Printed Girl's Top,reebok casual sleeveless printed girls top,reebok casual sleeveless printed girl top,[],['girl'],casual sleeveless girl top reebok casual ,4,16,clothing
1818,1818,Sport Silicone Red Swimming Cap,sport silicone red swimming cap,sport silicone red swimming cap,['red'],[],silicone red swimming cap sport silicone ,164,42,auto
1819,1819,Gungun Toys Best Wishes Teddy Bear  - 111 cm,gungun toys best wishes teddy bear   111 cm,gungun toy best wish teddy bear 111 cm,[],[],gungun teddy bear gungun toy ,-1,-1,unknown
1820,1820,Recrafto Buddha Showpiece  -  15.24 cm,recrafto buddha showpiece    1524 cm,recrafto buddha showpiece 1524 cm,[],[],recrafto buddha showpiece recrafto buddha ,-1,-1,unknown
1821,1821,"Anthill Baby Boy's, Baby Girl's Bodysuit",anthill baby boys baby girls bodysuit,anthill baby boy baby girl bodysuit,[],"['girl', 'boy', 'baby']",baby boy anthill baby girl bodysuit ,62,21,watches
1822,1822,Interio Crafts Brass Gramophone,interio crafts brass gramophone,interio craft brass gramophone,[],[],craft brass brass gramophone interio craft ,151,0,jewelry
1823,1823,ESHOPITUDE Disk Break Lock ZARGV1097-HONDAINTERCEPTOR U Lock,eshopitude disk break lock zargv1097hondainterceptor u lock,eshopitude disk break lock zargv1097hondainterceptor u lock,[],[],disk break break lock eshopitude disk ,0,0,jewelry
1824,1824,FS Mini Klub Casual Girl's Top,fs mini klub casual girls top,f mini klub casual girl top,[],['girl'],klub casual mini klub girl top ,195,23,athletics
1825,1825,Exotic India Lord Ganesha (Carved in Hematite) Showpiece  -  5.08 cm,exotic india lord ganesha carved in hematite showpiece    508 cm,exotic india lord ganesha carved in hematite showpiece 508 cm,[],[],india lord hematite showpiece exotic india ,15,12,unknown
1826,1826,FAX Slippers,fax slippers,fax slipper,[],[],slipper fax fax slipper ,109,6,footwear
1827,1827,Gkidz Printed Boy's Round Neck Dark Blue T-Shirt,gkidz printed boys round neck dark blue tshirt,gkidz printed boy round neck dark blue tshirt,['blue'],['boy'],printed boy blue tshirt gkidz printed ,92,7,clothing
1828,1828,Clench Slim Fit Boy's Black Trousers,clench slim fit boys black trousers,clench slim fit boy black trouser,['black'],['boy'],slim fit black trouser clench slim ,203,6,footwear
1829,1829,VRTYA Casual Short Sleeve Solid Women's Grey Top,vrtya casual short sleeve solid womens grey top,vrtya casual short sleeve solid woman grey top,['grey'],['woman'],casual short grey top vrtya casual ,45,32,clothing
1830,1830,"LUMBER BOY Self Design Boy's Polo Neck Red, Black T-Shirt",lumber boy self design boys polo neck red black tshirt,lumber boy self design boy polo neck red black tshirt,"['black', 'red']",['boy'],polo neck lumber boy black tshirt ,92,7,clothing
1831,1831,Port NuWave Football Shoes,port nuwave football shoes,port nuwave football shoe,[],[],nuwave football football shoe port nuwave ,23,14,womens footwear
1832,1832,Fabpoppy Casual Sleeveless Solid Women's Blue Top,fabpoppy casual sleeveless solid womens blue top,fabpoppy casual sleeveless solid woman blue top,['blue'],['woman'],casual sleeveless blue top fabpoppy casual ,4,16,clothing
1833,1833,Gkidz Printed Boy's Round Neck Orange T-Shirt,gkidz printed boys round neck orange tshirt,gkidz printed boy round neck orange tshirt,['orange'],['boy'],printed boy orange tshirt gkidz printed ,92,7,clothing
1834,1834,FRENEMY MPAD389 Mousepad,frenemy mpad389 mousepad,frenemy mpad389 mousepad,[],[],mousepad frenemy ,291,1,art
1835,1835,BIKER BOYS Printed Boy's Round Neck Blue T-Shirt,biker boys printed boys round neck blue tshirt,biker boy printed boy round neck blue tshirt,['blue'],['boy'],round neck biker boy blue tshirt ,92,7,clothing
1836,1836,YK Solid Boy's Round Neck Dark Blue T-Shirt,yk solid boys round neck dark blue tshirt,yk solid boy round neck dark blue tshirt,['blue'],['boy'],boy round solid boy blue tshirt ,-1,-1,unknown
1837,1837,Port Sport-Shiled Training & Gym Shoes,port sportshiled training  gym shoes,port sportshiled training gym shoe,[],[],sportshiled training gym shoe port sportshiled ,118,6,footwear
1838,1838,Jon Pep Slippers,jon pep slippers,jon pep slipper,[],[],jon pep slipper jon pep ,109,6,footwear
1839,1839,TOUCHWOOD KIDS UNISEX SCHOLAR WHITE SCHOOL SHOE Running Shoes,touchwood kids unisex scholar white school shoe running shoes,touchwood kid unisex scholar white school shoe running shoe,['white'],['kid'],unisex scholar kid unisex touchwood kid ,-1,-1,unknown
1840,1840,Chazer,chazer,chazer,[],[],chazer ,-1,-1,unknown
1841,1841,Fabpoppy Casual Sleeveless Printed Women's Multicolor Top,fabpoppy casual sleeveless printed womens multicolor top,fabpoppy casual sleeveless printed woman multicolor top,[],['woman'],casual sleeveless multicolor top fabpoppy casual ,4,16,clothing
1842,1842,VRTYA Casual Sleeveless Solid Women's Blue Top,vrtya casual sleeveless solid womens blue top,vrtya casual sleeveless solid woman blue top,['blue'],['woman'],casual sleeveless blue top vrtya casual ,4,16,clothing
1843,1843,Roadster Skinny Fit Women's Blue Jeans,roadster skinny fit womens blue jeans,roadster skinny fit woman blue jean,['blue'],['woman'],skinny fit blue jean roadster skinny ,54,31,mens clothing
1844,1844,Leather chief Slippers,leather chief slippers,leather chief slipper,[],[],leather chief slipper leather chief ,23,14,womens footwear
1845,1845,HRX by Hrithik Roshan Skinny Fit Women's Blue Jeans,hrx by hrithik roshan skinny fit womens blue jeans,hrx by hrithik roshan skinny fit woman blue jean,['blue'],['woman'],roshan skinny hrithik roshan blue jean ,54,31,mens clothing
1846,1846,Feminine Casual Sleeveless Printed Women's Multicolor Top,feminine casual sleeveless printed womens multicolor top,feminine casual sleeveless printed woman multicolor top,[],['woman'],casual sleeveless multicolor top feminine casual ,4,16,clothing
1847,1847,Micromax  Battery - Canvas Fire A093,micromax  battery  canvas fire a093,micromax battery canvas fire a093,[],[],battery canvas canvas fire micromax battery ,-1,-1,unknown
1848,1848,Comex Acheiver-Pluto Football Shoes,comex acheiverpluto football shoes,comex acheiverpluto football shoe,[],[],acheiverpluto football football shoe comex acheiverpluto ,23,14,womens footwear
1849,1849,SIESTA Slim Fit Women's Light Blue Jeans,siesta slim fit womens light blue jeans,siesta slim fit woman light blue jean,['blue'],['woman'],slim fit blue jean siesta slim ,54,31,mens clothing
1850,1850,VRTYA Casual Sleeveless Solid Women's Black Top,vrtya casual sleeveless solid womens black top,vrtya casual sleeveless solid woman black top,['black'],['woman'],casual sleeveless black top vrtya casual ,4,16,clothing
1851,1851,"THELABELLIFE.com Casual Full Sleeve Solid Women's Grey, Black Top",thelabellifecom casual full sleeve solid womens grey black top,thelabellifecom casual full sleeve solid woman grey black top,"['black', 'grey']",['woman'],casual full black top thelabellifecom casual ,-1,-1,unknown
1852,1852,Hitway Lace Up,hitway lace up,hitway lace up,[],[],lace hitway hitway lace ,23,14,womens footwear
1853,1853,MAK  Battery - MK BT-Note,mak  battery  mk btnote,mak battery mk btnote,[],[],btnote mak mak battery ,25,49,electronics
1854,1854,Lilliput Regular Fit Boy's Brown Trousers,lilliput regular fit boys brown trousers,lilliput regular fit boy brown trouser,['brown'],['boy'],regular fit brown trouser lilliput regular ,94,6,footwear
1855,1855,Gasser Slippers,gasser slippers,gasser slipper,[],[],slipper gasser gasser slipper ,109,6,footwear
1856,1856,"Coash Casual Sleeveless Printed Women's Black, Pink Top",coash casual sleeveless printed womens black pink top,coash casual sleeveless printed woman black pink top,"['pink', 'black']",['woman'],casual sleeveless pink top coash casual ,4,16,clothing
1857,1857,ARMOIRE Printed Boy's Round Neck Grey T-Shirt,armoire printed boys round neck grey tshirt,armoire printed boy round neck grey tshirt,['grey'],['boy'],printed boy grey tshirt armoire printed ,92,7,clothing
1858,1858,fourgee Slim Fit Women's Blue Jeans,fourgee slim fit womens blue jeans,fourgee slim fit woman blue jean,['blue'],['woman'],slim fit blue jean fourgee slim ,54,31,mens clothing
1859,1859,SoleThreads Flip Flops,solethreads flip flops,solethreads flip flop,[],[],solethreads flip flop solethreads flip ,230,44,electronics
1860,1860,topolino Striped Boy's Round Neck Blue T-Shirt,topolino striped boys round neck blue tshirt,topolino striped boy round neck blue tshirt,['blue'],['boy'],striped boy blue tshirt topolino striped ,-1,-1,unknown
1861,1861,Lilliput Regular Fit Boy's Red Trousers,lilliput regular fit boys red trousers,lilliput regular fit boy red trouser,['red'],['boy'],regular fit red trouser lilliput regular ,94,6,footwear
1862,1862,"LUMBER BOY Self Design Boy's Polo Neck Red, White, Black T-Shirt",lumber boy self design boys polo neck red white black tshirt,lumber boy self design boy polo neck red white black tshirt,"['white', 'black', 'red']",['boy'],polo neck lumber boy black tshirt ,92,7,clothing
1863,1863,FRENEMY MPAD288 Mousepad,frenemy mpad288 mousepad,frenemy mpad288 mousepad,[],[],mousepad frenemy ,291,1,art
1864,1864,Spa Culture Fit Fit Women's Light Blue Jeans,spa culture fit fit womens light blue jeans,spa culture fit fit woman light blue jean,['blue'],['woman'],woman light blue jean spa culture ,-1,-1,unknown
1865,1865,THELABELLIFE.com Casual Full Sleeve Solid Women's White Top,thelabellifecom casual full sleeve solid womens white top,thelabellifecom casual full sleeve solid woman white top,['white'],['woman'],casual full white top thelabellifecom casual ,45,32,clothing
1866,1866,"LUMBER BOY Printed Boy's Hooded Reversible Green, Black T-Shirt",lumber boy printed boys hooded reversible green black tshirt,lumber boy printed boy hooded reversible green black tshirt,"['green', 'black']",['boy'],hooded reversible lumber boy black tshirt ,92,7,clothing
1867,1867,FRENEMY MPAD348 Mousepad,frenemy mpad348 mousepad,frenemy mpad348 mousepad,[],[],mousepad frenemy ,291,1,art
1868,1868,Trend Notes Casual Sleeveless Solid Women's Pink Top,trend notes casual sleeveless solid womens pink top,trend note casual sleeveless solid woman pink top,['pink'],['woman'],note casual pink top trend note ,-1,-1,unknown
1869,1869,BIKER BOYS Printed Boy's Round Neck Grey T-Shirt,biker boys printed boys round neck grey tshirt,biker boy printed boy round neck grey tshirt,['grey'],['boy'],round neck biker boy grey tshirt ,92,7,clothing
1870,1870,EVER WEAR REGULAR Fit Women's Black Jeans,ever wear regular fit womens black jeans,ever wear regular fit woman black jean,['black'],['woman'],regular fit wear regular black jean ,54,31,mens clothing
1871,1871,Crux&Hunter Printed Boy's Round Neck Orange T-Shirt,cruxhunter printed boys round neck orange tshirt,cruxhunter printed boy round neck orange tshirt,['orange'],['boy'],printed boy orange tshirt cruxhunter printed ,92,7,clothing
1872,1872,Zippy Printed Boy's Round Neck Multicolor T-Shirt,zippy printed boys round neck multicolor tshirt,zippy printed boy round neck multicolor tshirt,[],['boy'],printed boy multicolor tshirt zippy printed ,92,7,clothing
1873,1873,Crux&Hunter Printed Boy's Round Neck Grey T-Shirt,cruxhunter printed boys round neck grey tshirt,cruxhunter printed boy round neck grey tshirt,['grey'],['boy'],printed boy grey tshirt cruxhunter printed ,92,7,clothing
1874,1874,TIMBERLAKE Slim Fit Fit Women's Red Jeans,timberlake slim fit fit womens red jeans,timberlake slim fit fit woman red jean,['red'],['woman'],woman red red jean timberlake slim ,193,31,mens clothing
1875,1875,Action Synergy SS07 School Shoes,action synergy ss07 school shoes,action synergy ss07 school shoe,[],[],action school shoe action synergy ,23,14,womens footwear
1876,1876,domestiq Flip Flops,domestiq flip flops,domestiq flip flop,[],[],domestiq flip flop domestiq flip ,230,44,electronics
1877,1877,Retina Universal For Bike Two Wheeler Cover,retina universal for bike two wheeler cover,retina universal for bike two wheeler cover,[],[],retina wheeler cover retina universal ,221,2,auto
1878,1878,FLITE Slippers,flite slippers,flite slipper,[],[],slipper flite flite slipper ,109,6,footwear
1879,1879,LAST BENCH Printed Boy's Round Neck Blue T-Shirt,last bench printed boys round neck blue tshirt,last bench printed boy round neck blue tshirt,['blue'],['boy'],printed boy bench printed blue tshirt ,92,7,clothing
1880,1880,Zippy Printed Boy's V-neck Multicolor T-Shirt,zippy printed boys vneck multicolor tshirt,zippy printed boy vneck multicolor tshirt,[],['boy'],printed boy multicolor tshirt zippy printed ,92,7,clothing
1881,1881,Lamy Safari Ball Pen,lamy safari ball pen,lamy safari ball pen,[],[],safari ball ball pen lamy safari ,121,1,art
1882,1882,Martini Casual 3/4 Sleeve Solid Women's Maroon Top,martini casual 34 sleeve solid womens maroon top,martini casual 34 sleeve solid woman maroon top,['maroon'],['woman'],maroon top sleeve solid martini casual ,4,16,clothing
1883,1883,SVT ADA COLLECTIONS Casual Sleeveless Solid Women's Black Top,svt ada collections casual sleeveless solid womens black top,svt ada collection casual sleeveless solid woman black top,['black'],['woman'],ada collection black top svt ada ,-1,-1,unknown
1884,1884,Asian Walking Shoes,asian walking shoes,asian walking shoe,[],[],asian walking shoe asian walking ,23,14,womens footwear
1885,1885,Crux&Hunter Printed Boy's Round Neck Blue T-Shirt,cruxhunter printed boys round neck blue tshirt,cruxhunter printed boy round neck blue tshirt,['blue'],['boy'],printed boy blue tshirt cruxhunter printed ,92,7,clothing
1886,1886,FRENEMY MPAD206 Mousepad,frenemy mpad206 mousepad,frenemy mpad206 mousepad,[],[],mousepad frenemy ,291,1,art
1887,1887,PI ZON Slim Fit Women's Blue Jeans,pi zon slim fit womens blue jeans,pi zon slim fit woman blue jean,['blue'],['woman'],slim fit zon slim blue jean ,54,31,mens clothing
1888,1888,Fabpoppy Casual Puff Sleeve Printed Women's Purple Top,fabpoppy casual puff sleeve printed womens purple top,fabpoppy casual puff sleeve printed woman purple top,['purple'],['woman'],casual puff purple top fabpoppy casual ,-1,-1,unknown
1889,1889,FRENEMY MPAD271 Mousepad,frenemy mpad271 mousepad,frenemy mpad271 mousepad,[],[],mousepad frenemy ,291,1,art
1890,1890,BARESKIN Flip Flops,bareskin flip flops,bareskin flip flop,[],[],bareskin flip flop bareskin flip ,230,44,electronics
1891,1891,benext Regular Fit Boy's Red Trousers,benext regular fit boys red trousers,benext regular fit boy red trouser,['red'],['boy'],regular fit red trouser benext regular ,94,6,footwear
1892,1892,"Panit Casual 3/4 Sleeve Floral Print Women's White, Multicolor Top",panit casual 34 sleeve floral print womens white multicolor top,panit casual 34 sleeve floral print woman white multicolor top,['white'],['woman'],multicolor top sleeve floral panit casual ,4,16,clothing
1893,1893,VRTYA Casual Sleeveless Solid Women's Red Top,vrtya casual sleeveless solid womens red top,vrtya casual sleeveless solid woman red top,['red'],['woman'],casual sleeveless red top vrtya casual ,4,16,clothing
1894,1894,Marks & Spencer Solid Turtle Neck Casual Women's Sweater,marks  spencer solid turtle neck casual womens sweater,mark spencer solid turtle neck casual woman sweater,[],['woman'],spencer solid woman sweater mark spencer ,4,16,clothing
1895,1895,"LUMBER BOY Self Design Boy's Polo Neck Blue, Red T-Shirt",lumber boy self design boys polo neck blue red tshirt,lumber boy self design boy polo neck blue red tshirt,"['red', 'blue']",['boy'],polo neck lumber boy red tshirt ,92,7,clothing
1896,1896,Saco wrist rest support Mousepad,saco wrist rest support mousepad,saco wrist rest support mousepad,[],[],wrist rest support mousepad saco wrist ,291,1,art
1897,1897,Reevolution Casual Short Sleeve Striped Women's Orange Top,reevolution casual short sleeve striped womens orange top,reevolution casual short sleeve striped woman orange top,['orange'],['woman'],casual short orange top reevolution casual ,45,32,clothing
1898,1898,PURYS Casual Roll-up Sleeve Printed Women's White Top,purys casual rollup sleeve printed womens white top,purys casual rollup sleeve printed woman white top,['white'],['woman'],casual rollup white top purys casual ,29,32,clothing
1899,1899,TIMBERLAKE Slim Fit Fit Women's Blue Jeans,timberlake slim fit fit womens blue jeans,timberlake slim fit fit woman blue jean,['blue'],['woman'],woman blue blue jean timberlake slim ,193,31,mens clothing
1900,1900,BELL BLEP-D10 Earphone Cable Organizer,bell blepd10 earphone cable organizer,bell blepd10 earphone cable organizer,[],[],cable organizer earphone cable bell ,235,10,electronics
1901,1901,keshar 25868 Earphone Cable Organizer,keshar 25868 earphone cable organizer,keshar 25868 earphone cable organizer,[],[],cable organizer earphone cable keshar ,235,10,electronics
1902,1902,XEBAC XEBAC-ADAPTER-B1017 Battery Charger,xebac xebacadapterb1017 battery charger,xebac xebacadapterb1017 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1903,1903,C Kreul Bullet Tip Acrylic Colour Based Medium Paint Markers,c kreul bullet tip acrylic colour based medium paint markers,c kreul bullet tip acrylic colour based medium paint marker,[],[],bullet tip kreul bullet paint marker ,1,1,art
1904,1904,Quilt India Floral Cushions Cover,quilt india floral cushions cover,quilt india floral cushion cover,[],[],india floral cushion cover quilt india ,47,35,furniture
1905,1905,BrandTrendz Cotton Solid Patiala,brandtrendz cotton solid patiala,brandtrendz cotton solid patiala,[],[],cotton solid solid patiala brandtrendz cotton ,-1,-1,unknown
1906,1906,XEBAC XEBAC-ADAPTER-B701 Battery Charger,xebac xebacadapterb701 battery charger,xebac xebacadapterb701 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1907,1907,Rajrang Carved Pattern Elephant Showpiece  -  8 cm,rajrang carved pattern elephant showpiece    8 cm,rajrang carved pattern elephant showpiece 8 cm,[],[],carved pattern elephant showpiece rajrang carved ,-1,-1,unknown
1908,1908,Toffyhouse Baby Boy's Sleepsuit,toffyhouse baby boys sleepsuit,toffyhouse baby boy sleepsuit,[],"['boy', 'baby']",baby boy boy sleepsuit toffyhouse baby ,62,21,watches
1909,1909,VDRIVE HEAVY NET / JALI_40 Sun Shade For Maruti Ertiga,vdrive heavy net  jali40 sun shade for maruti ertiga,vdrive heavy net jali40 sun shade for maruti ertiga,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1910,1910,VDRIVE HEAVY NET / JALI_16 Sun Shade For Chevrolet Beat,vdrive heavy net  jali16 sun shade for chevrolet beat,vdrive heavy net jali16 sun shade for chevrolet beat,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1911,1911,VDRIVE HEAVY NET / JALI_124 Sun Shade For Mahindra Verito,vdrive heavy net  jali124 sun shade for mahindra verito,vdrive heavy net jali124 sun shade for mahindra verito,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1912,1912,XEBAC XEBAC-ADAPTER-B725 Battery Charger,xebac xebacadapterb725 battery charger,xebac xebacadapterb725 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1913,1913,XEBAC XEBAC-ADAPTER-B390 Battery Charger,xebac xebacadapterb390 battery charger,xebac xebacadapterb390 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1914,1914,XEBAC XEBAC-ADAPTER-B740 Battery Charger,xebac xebacadapterb740 battery charger,xebac xebacadapterb740 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1915,1915,Carbanao Chrome Grill Chevrolet Cruze Car Grill Cover,carbanao chrome grill chevrolet cruze car grill cover,carbanao chrome grill chevrolet cruze car grill cover,[],[],chevrolet cruze grill cover carbanao chrome ,-1,-1,unknown
1916,1916,Bond Beatz Zipper With Excellent Sound Wired Headset,bond beatz zipper with excellent sound wired headset,bond beatz zipper with excellent sound wired headset,[],[],beatz zipper wired headset bond beatz ,126,10,electronics
1917,1917,VDRIVE HEAVY NET / JALI_44 Sun Shade For Toyota Etios Liva,vdrive heavy net  jali44 sun shade for toyota etios liva,vdrive heavy net jali44 sun shade for toyota etios liva,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1918,1918,C Kreul Fabric Color Bottle,c kreul fabric color bottle,c kreul fabric color bottle,[],[],fabric color kreul fabric color bottle ,164,42,auto
1919,1919,VDRIVE HEAVY NET / JALI_41 Sun Shade For Maruti Esteem,vdrive heavy net  jali41 sun shade for maruti esteem,vdrive heavy net jali41 sun shade for maruti esteem,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1920,1920,"Oddy RS 1.5 X 2 100 Sheets Self Stick Repositionable Note Pad, 1 Colors",oddy rs 15 x 2 100 sheets self stick repositionable note pad 1 colors,oddy r 15 x 2 100 sheet self stick repositionable note pad 1 color,[],[],stick repositionable note pad color ,-1,-1,unknown
1921,1921,XEBAC XEBAC-ADAPTER-B592 Battery Charger,xebac xebacadapterb592 battery charger,xebac xebacadapterb592 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1922,1922,XEBAC XEBAC-CHARGER-B895 Battery Charger,xebac xebacchargerb895 battery charger,xebac xebacchargerb895 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1923,1923,VDRIVE HEAVY NET / JALI_104 Sun Shade For Chevrolet Sail UVA,vdrive heavy net  jali104 sun shade for chevrolet sail uva,vdrive heavy net jali104 sun shade for chevrolet sail uva,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1924,1924,VDRIVE HEAVY NET / JALI_10 Sun Shade For Tata Aria,vdrive heavy net  jali10 sun shade for tata aria,vdrive heavy net jali10 sun shade for tata aria,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1925,1925,ortel earphone44 Earphone Cable Organizer,ortel earphone44 earphone cable organizer,ortel earphone44 earphone cable organizer,[],[],cable organizer earphone cable ortel ,235,10,electronics
1926,1926,ZORDEN Luxury Cup Holder Ashtray USB Toyota Innova T-2 Car Armrest,zorden luxury cup holder ashtray usb toyota innova t2 car armrest,zorden luxury cup holder ashtray usb toyota innova t2 car armrest,[],[],toyota innova zorden luxury car armrest ,180,20,bags
1927,1927,XEBAC XEBAC-ADAPTER-B693 Battery Charger,xebac xebacadapterb693 battery charger,xebac xebacadapterb693 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1928,1928,XEBAC XEBAC-ADAPTER-B1021 Battery Charger,xebac xebacadapterb1021 battery charger,xebac xebacadapterb1021 battery charger,[],[],battery xebac battery charger ,-1,-1,unknown
1929,1929,VDRIVE HEAVY NET / JALI_88 Sun Shade For Fiat Palio,vdrive heavy net  jali88 sun shade for fiat palio,vdrive heavy net jali88 sun shade for fiat palio,[],[],sun shade heavy net vdrive heavy ,38,24,unknown
1930,1930,XEBAC XEBAC-ADAPTER-B821 Battery Charger,xebac xebacadapterb821 battery charger,xebac xebacadapterb821 battery charger,[],[],battery xebac battery charger ,205,10,electronics
1931,1931,AMCO Running Shoes,amco running shoes,amco running shoe,[],[],amco running shoe amco running ,118,6,footwear
1932,1932,ATIS AMCO Running Shoes,atis amco running shoes,atis amco running shoe,[],[],amco running running shoe atis amco ,118,6,footwear
1933,1933,"WorldWearFootwear Running Shoes, Walking Shoes",worldwearfootwear running shoes walking shoes,worldwearfootwear running shoe walking shoe,[],[],shoe walking running shoe worldwearfootwear running ,118,6,footwear
1934,1934,AMCO Walking Shoes,amco walking shoes,amco walking shoe,[],[],amco walking shoe amco walking ,23,14,womens footwear
1935,1935,Holy Krishna Showpiece  -  19.5 cm,holy krishna showpiece    195 cm,holy krishna showpiece 195 cm,[],[],holy krishna showpiece holy krishna ,15,12,unknown
1936,1936,Synergy SFJB0105 Grocery Bag,synergy sfjb0105 grocery bag,synergy sfjb0105 grocery bag,[],[],grocery synergy grocery bag ,79,20,bags
1937,1937,Hand Art Showpiece  -  38 cm,hand art showpiece    38 cm,hand art showpiece 38 cm,[],[],hand art showpiece hand art ,57,11,jewelry
1938,1938,SHOPOJ White Paper Sky Lantern,shopoj white paper sky lantern,shopoj white paper sky lantern,['white'],[],white paper sky lantern shopoj white ,72,-1,unknown
1939,1939,SUPERMOD Men's Brief,supermod mens brief,supermod men brief,[],[],men supermod supermod men ,8,29,mens clothing
1940,1940,Shyam Fashion Brass Vase,shyam fashion brass vase,shyam fashion brass vase,[],[],fashion brass brass vase shyam fashion ,-1,-1,unknown
1941,1941,Ridhi-Impex Full Sleeve Solid Women's Jacket,ridhiimpex full sleeve solid womens jacket,ridhiimpex full sleeve solid woman jacket,[],['woman'],full sleeve woman jacket ridhiimpex full ,86,16,clothing
1942,1942,Dark Image Wayfarer Sunglasses,dark image wayfarer sunglasses,dark image wayfarer sunglass,[],[],image wayfarer wayfarer sunglass dark image ,97,-1,unknown
1943,1943,Zappy Boots,zappy boots,zappy boot,[],[],boot zappy zappy boot ,21,6,footwear
1944,1944,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,shopmania designer notebook a5 notebook spiral bound,shopmania designer notebook a5 notebook spiral bound,[],[],designer notebook spiral bound shopmania designer ,152,1,art
1945,1945,Toe Spring Flip Flops,toe spring flip flops,toe spring flip flop,[],[],spring flip flip flop toe spring ,230,44,electronics
1946,1946,Goldcave G211 Faucet Set,goldcave g211 faucet set,goldcave g211 faucet set,[],[],faucet goldcave faucet set ,268,42,auto
1947,1947,Xerobic 75 cm Gym Ball,xerobic 75 cm gym ball,xerobic 75 cm gym ball,[],[],ball gym ball xerobic ,286,6,footwear
1948,1948,Ganga 1514 New Line Wall Mixer 3 In 1 System With Provision For Both Telephone Shower & Overhead Shower Faucet Set,ganga 1514 new line wall mixer 3 in 1 system with provision for both telephone shower  overhead shower faucet set,ganga 1514 new line wall mixer 3 in 1 system with provision for both telephone shower overhead shower faucet set,[],[],line wall faucet set wall mixer ,268,42,auto
1949,1949,Trmpi Floral Print Girl's Round Neck Pink T-Shirt,trmpi floral print girls round neck pink tshirt,trmpi floral print girl round neck pink tshirt,['pink'],['girl'],floral print pink tshirt trmpi floral ,-1,-1,unknown
1950,1950,VECTOR-X Gym Ball,vectorx gym ball,vectorx gym ball,[],[],vectorx gym ball vectorx gym ,286,6,footwear
1951,1951,AAO+ Aviator Sunglasses,aao aviator sunglasses,aao aviator sunglass,[],[],aao aviator sunglass aao aviator ,97,-1,unknown
1952,1952,EYE GLASS Wayfarer Sunglasses,eye glass wayfarer sunglasses,eye glass wayfarer sunglass,[],[],glass wayfarer wayfarer sunglass eye glass ,73,42,auto
1953,1953,HERDY Aviator Sunglasses,herdy aviator sunglasses,herdy aviator sunglass,[],[],herdy aviator sunglass herdy aviator ,97,-1,unknown
1954,1954,Zyaden Oval Sunglasses,zyaden oval sunglasses,zyaden oval sunglass,[],[],zyaden oval sunglass zyaden oval ,97,-1,unknown
1955,1955,Elligator Aviator Sunglasses,elligator aviator sunglasses,elligator aviator sunglass,[],[],elligator aviator sunglass elligator aviator ,97,-1,unknown
1956,1956,Xerobic 85 cm Gym Ball,xerobic 85 cm gym ball,xerobic 85 cm gym ball,[],[],ball gym ball xerobic ,286,6,footwear
